Fish_ID	Cluster_ID	Reach_ID	Sfo_C113a	Sfo_C113b	Sfo_C88a	Sfo_C88b	Sfo_D100a	Sfo_D100b	Sfo_D75a	Sfo_D75b	Sfo_C115a	Sfo_C115b	Sfo_C129a	Sfo_C129b	Sfo_C24a	Sfo_C24b	Ssa_D237a	Ssa_D237b
Ind-683	KentDown	KT2-03	128	152	183	186	215	219	185	214	228	358	232	232	116	119	295	304
Ind-684	KT4	KT4-01	132	132	183	183	228	269	176	181	242	358	223	232	116	116	300	433
Ind-685	KT4	KT4-01	132	148	183	183	215	228	185	214	242	358	223	232	116	119	291	300
Ind-686	KT4	KT4-01	148	152	183	183	219	237	176	181	246	312	223	232	116	119	295	429
Ind-687	KT4	KT4-02	132	132	183	183	219	228	176	181	242	248	223	232	116	119	291	433
Ind-688	KT4	KT4-02	148	152	183	183	219	228	176	181	246	312	232	232	116	119	295	433
Ind-689	KT4	KT4-02	132	132	183	183	219	219	181	197	228	312	232	236	116	116	300	300
Ind-690	KT4	KT4-03	132	132	183	183	219	219	176	181	242	358	223	232	116	116	300	300
Ind-691	KT4	KT4-03	128	132	183	183	219	228	176	176	242	248	232	232	116	116	300	433
Ind-692	KT4	KT4-03	128	152	183	183	215	215	181	197	312	358	223	232	116	119	433	433
Ind-693	KT4	KT4-04	148	152	183	186	215	215	181	214	246	246	223	223	119	119	300	433
Ind-694	KT4	KT4-04	132	132	183	183	219	237	176	176	228	312	223	232	116	116	304	429
Ind-695	KT4	KT4-04	132	132	183	183	219	219	181	181	242	248	232	232	116	116	291	300
Ind-696	KT4	KT4-05	128	132	183	183	219	233	181	181	242	248	223	223	116	116	291	300
Ind-697	KT4	KT4-05	148	152	183	186	219	219	181	185	228	358	232	232	119	122	291	433
Ind-698	KT4	KT4-05	132	132	183	183	219	233	181	181	240	248	223	232	116	119	291	300
Ind-699	KT4	KT4-06	132	132	183	183	215	219	181	185	228	358	232	232	119	122	420	486
Ind-700	KT4	KT4-06	132	152	183	183	215	219	176	181	242	358	223	232	119	119	295	433
Ind-701	KT4	KT4-06	128	132	183	192	219	219	181	181	228	242	223	232	116	116	300	416
Ind-702	KT4	KT4-07	132	148	183	183	228	233	176	181	228	358	223	223	116	122	291	291
Ind-703	KT4	KT4-07	132	148	183	183	219	228	181	197	228	248	223	223	116	116	433	433
Ind-704	KT4	KT4-07	132	148	183	183	215	228	181	181	246	358	223	223	116	119	291	433
Ind-705	KT4	KT4-08	132	132	183	183	219	233	176	181	242	248	223	232	116	116	291	300
Ind-706	KT4	KT4-08	148	152	183	183	215	228	181	181	246	358	223	223	116	116	291	433
Ind-707	KT4	KT4-08	132	132	183	183	215	219	181	181	242	354	223	232	119	122	416	424
Ind-708	KT4	KT4-09	132	148	183	183	215	228	181	197	358	358	223	232	116	122	291	433
Ind-709	KT4	KT4-09	132	132	183	183	233	237	176	197	242	312	223	223	116	116	300	429
Ind-710	KT4	KT4-09	132	132	183	183	215	219	181	214	228	246	223	223	116	119	433	433
Ind-711	KT4	KT4-10	132	132	183	183	215	219	176	181	248	354	223	232	116	116	416	486
Ind-712	KT4	KT4-10	132	148	183	183	219	269	181	193	312	312	232	232	116	116	291	308
Ind-713	KT4	KT4-10	128	132	183	183	219	233	181	181	228	242	223	232	116	116	291	304
Ind-714	KT4	KT4-11	132	132	183	183	215	219	176	181	246	248	232	232	119	119	433	486
Ind-715	KT4	KT4-11	132	132	183	186	228	228	181	181	246	358	223	232	116	119	433	486
Ind-716	KT4	KT4-11	132	132	183	183	228	233	181	181	228	246	232	232	116	116	291	433
Ind-717	KT4	KT4-12	128	132	183	183	219	219	181	193	244	244	223	232	116	119	300	433
Ind-718	KT4	KT4-12	132	132	183	183	219	269	181	181	246	312	223	236	116	122	433	486
Ind-719	KT4	KT4-13	132	148	183	183	219	228	181	181	228	242	223	223	116	119	291	433
Ind-720	KT4	KT4-13	132	132	183	183	215	219	176	181	246	246	232	236	116	119	433	486
Ind-721	KT4	KT4-13	132	152	183	183	228	233	181	181	242	246	223	223	116	119	291	433
Ind-722	KT4	KT4-14	132	132	183	183	219	219	181	181	246	246	232	236	116	119	433	486
Ind-723	KT4	KT4-14	132	152	183	183	219	228	181	181	228	242	223	223	116	119	291	433
Ind-724	KT4	KT4-14	132	132	183	183	228	233	181	181	228	358	223	223	116	119	291	433
Ind-725	KT4	KT4-15	132	132	183	183	219	228	181	181	242	312	232	232	116	119	295	433
Ind-726	KT4	KT4-16	132	132	183	183	219	228	176	181	242	248	232	232	116	119	295	433
Ind-727	KT4	KT4-16	148	148	183	183	219	219	176	181	242	338	232	236	116	119	291	433
Ind-728	KT4	KT4-16	132	148	183	183	219	228	181	181	228	246	223	232	116	116	416	433
Ind-729	KT4	KT4-17	128	152	183	186	237	269	193	197	246	358	223	223	116	119	295	321
Ind-730	KT4	KT4-18	132	152	183	183	219	228	181	181	246	358	223	232	116	119	291	433
Ind-731	KT4	KT4-18	148	152	183	183	219	233	181	181	242	246	223	232	116	116	286	291
Ind-732	KT4	KT4-18	128	148	183	183	219	269	176	176	312	358	223	232	113	119	300	486
Ind-733	KT4	KT4-19	132	132	183	183	219	269	181	181	342	358	232	232	116	119	312	486
Ind-734	KT4	KT4-19	132	132	183	183	215	219	176	197	228	358	223	232	116	119	433	433
Ind-735	KentUp	KT5-01	132	152	183	183	215	215	176	185	246	312	223	223	119	119	321	433
Ind-736	KentUp	KT5-01	132	148	183	183	215	215	181	181	242	312	223	232	119	119	295	420
Ind-737	KentUp	KT5-02	132	152	183	183	219	219	181	185	240	240	223	223	119	119	312	433
Ind-738	KentUp	KT5-02	132	132	183	183	219	228	181	181	242	246	223	232	116	119	295	486
Ind-739	KentUp	KT5-02	128	148	183	183	219	219	176	181	248	358	223	232	116	116	291	416
Ind-740	KentUp	KT5-02	132	148	183	183	219	219	181	181	228	308	223	223	116	119	300	420
