GVL Code,Alternate Sample Name,Indentifier,Sequenced Under,Genus,Species,Subspecies,Authority,Common Name,Source Location,Coordinates,Collection Date,Collector,Container Name,Notes,
TS_EFCR_01,,,Catostomus tahoensis,Catostomus,tahoensis,,Gill & Jordan 1878,Tahoe Sucker,"East Fork Carson River, NV",38.87569 -119.69025,7/28/20,"Travis Hawks, NV Dept of Wildlife",Tahoe_Sucker_East_Fork_Carson_River_NVDeptW_2020,,
TS_EFCR_02,,,Catostomus tahoensis,Catostomus,tahoensis,,Gill & Jordan 1878,Tahoe Sucker,"East Fork Carson River, NV",38.87569 -119.69025,7/29/20,"Travis Hawks, NV Dept of Wildlife",Tahoe_Sucker_East_Fork_Carson_River_NVDeptW_2020,,
TS_EFCR_03,,,Catostomus tahoensis,Catostomus,tahoensis,,Gill & Jordan 1878,Tahoe Sucker,"East Fork Carson River, NV",38.87569 -119.69025,7/30/20,"Travis Hawks, NV Dept of Wildlife",Tahoe_Sucker_East_Fork_Carson_River_NVDeptW_2020,,
TS_EFCR_04,,,Catostomus tahoensis,Catostomus,tahoensis,,Gill & Jordan 1878,Tahoe Sucker,"East Fork Carson River, NV",38.87569 -119.69025,7/31/20,"Travis Hawks, NV Dept of Wildlife",Tahoe_Sucker_East_Fork_Carson_River_NVDeptW_2020,,
TS_EFCR_05,,,Catostomus tahoensis,Catostomus,tahoensis,,Gill & Jordan 1878,Tahoe Sucker,"East Fork Carson River, NV",38.87569 -119.69025,8/1/20,"Travis Hawks, NV Dept of Wildlife",Tahoe_Sucker_East_Fork_Carson_River_NVDeptW_2020,,
TS_EFCR_06,,,Catostomus tahoensis,Catostomus,tahoensis,,Gill & Jordan 1878,Tahoe Sucker,"East Fork Carson River, NV",38.87569 -119.69025,8/2/20,"Travis Hawks, NV Dept of Wildlife",Tahoe_Sucker_East_Fork_Carson_River_NVDeptW_2020,,
TS_EFCR_07,,,Catostomus tahoensis,Catostomus,tahoensis,,Gill & Jordan 1878,Tahoe Sucker,"East Fork Carson River, NV",38.87569 -119.69025,8/3/20,"Travis Hawks, NV Dept of Wildlife",Tahoe_Sucker_East_Fork_Carson_River_NVDeptW_2020,,
TS_EFCR_08,,,Catostomus tahoensis,Catostomus,tahoensis,,Gill & Jordan 1878,Tahoe Sucker,"East Fork Carson River, NV",38.87569 -119.69025,8/4/20,"Travis Hawks, NV Dept of Wildlife",Tahoe_Sucker_East_Fork_Carson_River_NVDeptW_2020,,
TS_EFCR_09,,,Catostomus tahoensis,Catostomus,tahoensis,,Gill & Jordan 1878,Tahoe Sucker,"East Fork Carson River, NV",38.87569 -119.69025,8/5/20,"Travis Hawks, NV Dept of Wildlife",Tahoe_Sucker_East_Fork_Carson_River_NVDeptW_2020,,
TS_EFCR_10,,,Catostomus tahoensis,Catostomus,tahoensis,,Gill & Jordan 1878,Tahoe Sucker,"East Fork Carson River, NV",38.87569 -119.69025,8/6/20,"Travis Hawks, NV Dept of Wildlife",Tahoe_Sucker_East_Fork_Carson_River_NVDeptW_2020,,
TS_EFCR_11,,,Catostomus tahoensis,Catostomus,tahoensis,,Gill & Jordan 1878,Tahoe Sucker,"East Fork Carson River, NV",38.87569 -119.69025,8/7/20,"Travis Hawks, NV Dept of Wildlife",Tahoe_Sucker_East_Fork_Carson_River_NVDeptW_2020,,
TS_EFCR_12,,,Catostomus tahoensis,Catostomus,tahoensis,,Gill & Jordan 1878,Tahoe Sucker,"East Fork Carson River, NV",38.87569 -119.69025,8/8/20,"Travis Hawks, NV Dept of Wildlife",Tahoe_Sucker_East_Fork_Carson_River_NVDeptW_2020,,
TS_EFCR_13,,,Catostomus tahoensis,Catostomus,tahoensis,,Gill & Jordan 1878,Tahoe Sucker,"East Fork Carson River, NV",38.87569 -119.69025,8/9/20,"Travis Hawks, NV Dept of Wildlife",Tahoe_Sucker_East_Fork_Carson_River_NVDeptW_2020,,
TS_EFCR_14,,,Catostomus tahoensis,Catostomus,tahoensis,,Gill & Jordan 1878,Tahoe Sucker,"East Fork Carson River, NV",38.87569 -119.69025,8/10/20,"Travis Hawks, NV Dept of Wildlife",Tahoe_Sucker_East_Fork_Carson_River_NVDeptW_2020,,
TS_EFCR_15,,,Catostomus tahoensis,Catostomus,tahoensis,,Gill & Jordan 1878,Tahoe Sucker,"East Fork Carson River, NV",38.87569 -119.69025,8/11/20,"Travis Hawks, NV Dept of Wildlife",Tahoe_Sucker_East_Fork_Carson_River_NVDeptW_2020,,
TS_EFCR_16,,,Catostomus tahoensis,Catostomus,tahoensis,,Gill & Jordan 1878,Tahoe Sucker,"East Fork Carson River, NV",38.87569 -119.69025,8/12/20,"Travis Hawks, NV Dept of Wildlife",Tahoe_Sucker_East_Fork_Carson_River_NVDeptW_2020,,
TS_EFCR_17,,,Catostomus tahoensis,Catostomus,tahoensis,,Gill & Jordan 1878,Tahoe Sucker,"East Fork Carson River, NV",38.87569 -119.69025,8/13/20,"Travis Hawks, NV Dept of Wildlife",Tahoe_Sucker_East_Fork_Carson_River_NVDeptW_2020,,
TS_EFCR_18,,,Catostomus tahoensis,Catostomus,tahoensis,,Gill & Jordan 1878,Tahoe Sucker,"East Fork Carson River, NV",38.87569 -119.69025,8/14/20,"Travis Hawks, NV Dept of Wildlife",Tahoe_Sucker_East_Fork_Carson_River_NVDeptW_2020,,
TS_EFCR_19,,,Catostomus tahoensis,Catostomus,tahoensis,,Gill & Jordan 1878,Tahoe Sucker,"East Fork Carson River, NV",38.87569 -119.69025,8/15/20,"Travis Hawks, NV Dept of Wildlife",Tahoe_Sucker_East_Fork_Carson_River_NVDeptW_2020,,
934-002,,,Catostomus occidentalis,Catostomus,occidentalis,occidentalis,Ayres 1854,Sacremento Sucker,"Upper Pit, CA & OR",Ash Creek: Ash Valley,,"Christain Smith, FWS",SacSucker_modocSucker_NoCA_FWS_2020,,
934-003,,,Catostomus occidentalis,Catostomus,occidentalis,occidentalis,Ayres 1854,Sacremento Sucker,"Upper Pit, CA & OR",Ash Creek: Ash Valley,,"Christain Smith, FWS",SacSucker_modocSucker_NoCA_FWS_2020,,
934-004,,,Catostomus occidentalis,Catostomus,occidentalis,occidentalis,Ayres 1854,Sacremento Sucker,"Upper Pit, CA & OR",Ash Creek: Ash Valley,,"Christain Smith, FWS",SacSucker_modocSucker_NoCA_FWS_2020,,
934-005,,,Catostomus occidentalis,Catostomus,occidentalis,occidentalis,Ayres 1854,Sacremento Sucker,"Upper Pit, CA & OR",Ash Creek: Ash Valley,,"Christain Smith, FWS",SacSucker_modocSucker_NoCA_FWS_2020,,
934-006,,,Catostomus occidentalis,Catostomus,occidentalis,occidentalis,Ayres 1854,Sacremento Sucker,"Upper Pit, CA & OR",Ash Creek: Ash Valley,,"Christain Smith, FWS",SacSucker_modocSucker_NoCA_FWS_2020,,
934-007,,,Catostomus occidentalis,Catostomus,occidentalis,occidentalis,Ayres 1854,Sacremento Sucker,"Upper Pit, CA & OR",Ash Creek: Ash Valley,,"Christain Smith, FWS",SacSucker_modocSucker_NoCA_FWS_2020,,
934-008,,,Catostomus occidentalis,Catostomus,occidentalis,occidentalis,Ayres 1854,Sacremento Sucker,"Upper Pit, CA & OR",Ash Creek: Ash Valley,,"Christain Smith, FWS",SacSucker_modocSucker_NoCA_FWS_2020,,
