iter	Likelihood	Pr(X|S;M,F,p)	Pr(M|m)	f(m|psi)	f(p|theta,ptild)	f(theta)
1020200	-6082.66	-8283.13	-58.2199	7.16704	2276.22	-24.6986
1020300	-6114.71	-8328.8	-51.0191	7.16704	2284.28	-26.3355
1020400	-6110.94	-8329.84	-45.5203	7.16704	2282.65	-25.3949
1020500	-6100.62	-8313.96	-49.3021	7.16704	2281.68	-26.205
1020600	-6109.06	-8298.52	-49.2541	7.16704	2255.88	-24.332
1020700	-6101.47	-8276.22	-47.6256	7.16704	2239.78	-24.5688
1020800	-6097.78	-8276.05	-51.6222	7.16704	2245.95	-23.222
1020900	-6151.92	-8314.08	-47.3838	7.16704	2226.05	-23.6768
1021000	-6111.64	-8295.63	-55.5053	7.16704	2258.05	-25.7173
1021100	-6116.7	-8288.86	-58.4481	7.16704	2247.72	-24.2722
1021200	-6063.47	-8267.03	-49.9251	7.16704	2271.76	-25.44
1021300	-6104.76	-8309.29	-41.4219	7.16704	2266.01	-27.2253
1021400	-6075.43	-8289.5	-52.3366	7.16704	2289.02	-29.7729
1021500	-6084.87	-8279.73	-51.3578	7.16704	2266.19	-27.1342
1021600	-6081.14	-8277.03	-45.645	7.16704	2260.79	-26.4259
1021700	-6084.98	-8277.92	-55.0501	7.16704	2265.64	-24.8229
1021800	-6075.67	-8250.99	-53.7879	7.16704	2247.62	-25.6754
1021900	-6074.5	-8288.94	-49.678	7.16704	2283.36	-26.4143
1022000	-6081.77	-8287.62	-55.8033	7.16704	2280.64	-26.1526
1022100	-6045.69	-8289.44	-43.9981	7.16704	2305.2	-24.6171
1022200	-6020.2	-8284.11	-44.5733	7.16704	2326.27	-24.9532
1022300	-5991.58	-8300.09	-51.2327	7.16704	2378.49	-25.9125
1022400	-5980.71	-8275.07	-41.4036	7.16704	2355.89	-27.2964
1022500	-6039.15	-8316.4	-45.7609	7.16704	2343.52	-27.6743
1022600	-6025.74	-8327.93	-43.9947	7.16704	2365.04	-26.0271
1022700	-6046.86	-8317.61	-50.2781	7.16704	2340.86	-27.0007
1022800	-6083.71	-8297.56	-56.0906	7.16704	2288.58	-25.7965
1022900	-6023.18	-8293.2	-49.9156	7.16704	2339.1	-26.3372
1023000	-6079.98	-8328.76	-58.7393	7.16704	2326.75	-26.3929
1023100	-6036.08	-8319.94	-52.3033	7.16704	2355.76	-26.7635
1023200	-6006.21	-8302.77	-46.9787	7.16704	2363.32	-26.9523
1023300	-6043.85	-8310.7	-47.8062	7.16704	2334.05	-26.5676
1023400	-6044.37	-8268.39	-57.2518	7.16704	2299.79	-25.6898
1023500	-6071.2	-8310.53	-37.3487	7.16704	2295.12	-25.6187
1023600	-6074.15	-8297.22	-52.1035	7.16704	2292.58	-24.5829
1023700	-6076.3	-8303.42	-53.1984	7.16704	2298.93	-25.7746
1023800	-6089	-8292.41	-55.3838	7.16704	2277.24	-25.6094
1023900	-6054.77	-8284.38	-52.2264	7.16704	2301.96	-27.2948
1024000	-6150.92	-8296.71	-64.1617	7.16704	2228.26	-25.4753
1024100	-6065.68	-8250.44	-54.8439	7.16704	2258.38	-25.9506
1024200	-6128.09	-8299.76	-46.9755	7.16704	2237.34	-25.8596
1024300	-6096.29	-8303.68	-51.5632	7.16704	2277.13	-25.347
1024400	-6075.35	-8268.68	-44.3069	7.16704	2255.71	-25.237
1024500	-6082.84	-8285.6	-49.4964	7.16704	2270.91	-25.8246
1024600	-6060.42	-8282.57	-46.1017	7.16704	2287.94	-26.8593
1024700	-6059.46	-8275.68	-39.042	7.16704	2274.35	-26.2562
1024800	-6119.65	-8307.27	-53.8165	7.16704	2258.31	-24.0329
1024900	-6095.35	-8295.29	-38.7488	7.16704	2255.93	-24.4069
1025000	-6111.54	-8300.19	-43.0231	7.16704	2249.44	-24.9404
1025100	-6114.7	-8283.55	-58.013	7.16704	2243.96	-24.2654
1025200	-6082.82	-8279.73	-46.3293	7.16704	2261.35	-25.2857
1025300	-6089.07	-8292.57	-49.633	7.16704	2271.46	-25.4967
1025400	-6131.12	-8323.37	-40.7508	7.16704	2250.47	-24.6312
1025500	-6138	-8314.95	-47.395	7.16704	2241.38	-24.2117
1025600	-6121.84	-8309.9	-43.4996	7.16704	2249.5	-25.1067
1025700	-6114.14	-8291.51	-46.4257	7.16704	2242.99	-26.3619
1025800	-6112.97	-8284.71	-51.6203	7.16704	2242.99	-26.7906
1025900	-6053.93	-8261.93	-47.0696	7.16704	2273.57	-25.6692
1026000	-6112.98	-8280.05	-58.4688	7.16704	2243.2	-24.8381
1026100	-6152.65	-8294.46	-47.4565	7.16704	2206.26	-24.1604
1026200	-6125.9	-8278.18	-67.1697	7.16704	2237.32	-25.0379
1026300	-6156.88	-8271.03	-65.3937	7.16704	2195.6	-23.2214
1026400	-6193.11	-8294.63	-51.6336	7.16704	2168.64	-22.6556
1026500	-6159.74	-8293.86	-49.3259	7.16704	2200.67	-24.4025
1026600	-6126.52	-8300.66	-52.2313	7.16704	2245.19	-25.9825
1026700	-6107.74	-8282.15	-39.4693	7.16704	2232.09	-25.3797
1026800	-6123.51	-8280.53	-54.8515	7.16704	2230.72	-26.0101
1026900	-6134.69	-8277.23	-55.493	7.16704	2216.25	-25.3855
1027000	-6131.64	-8286.94	-48.7745	7.16704	2222.5	-25.6012
1027100	-6153.02	-8270.9	-52.8204	7.16704	2187.04	-23.5063
1027200	-6163	-8259.18	-59.0385	7.16704	2173.36	-25.3067
1027300	-6126.08	-8256.17	-50.8536	7.16704	2198.13	-24.3555
1027400	-6167.75	-8309.27	-53.5956	7.16704	2213.07	-25.1162
1027500	-6135.7	-8259.36	-59.8722	7.16704	2199.17	-22.8004
1027600	-6127.79	-8291.91	-49.6561	7.16704	2231.78	-25.1773
1027700	-6160.83	-8291.1	-46.388	7.16704	2192.8	-23.319
1027800	-6133.45	-8275.95	-56.1173	7.16704	2215.6	-24.1475
1027900	-6136.32	-8283.59	-46.7051	7.16704	2210.39	-23.5811
1028000	-6143.05	-8308.82	-50.8679	7.16704	2234.21	-24.7452
1028100	-6103.01	-8285.5	-40.8517	7.16704	2240.84	-24.6733
1028200	-6157.1	-8310.52	-56.939	7.16704	2228.03	-24.8444
1028300	-6135.78	-8293.69	-48.5062	7.16704	2224.62	-25.3644
1028400	-6144.99	-8313.04	-49.9343	7.16704	2233.76	-22.9452
1028500	-6158.78	-8310.26	-55.548	7.16704	2223.17	-23.3113
1028600	-6104.15	-8272.64	-41.1823	7.16704	2225.97	-23.4673
1028700	-6087.07	-8272.45	-51.43	7.16704	2252.88	-23.2303
1028800	-6133.66	-8297.71	-49.5839	7.16704	2231.05	-24.5881
1028900	-6170.07	-8290.94	-42.565	7.16704	2182.36	-26.0912
1029000	-6140.23	-8264.4	-43.8231	7.16704	2184.81	-23.9813
1029100	-6169.47	-8301.24	-45.8938	7.16704	2196.14	-25.6385
1029200	-6153.44	-8303.43	-47.3547	7.16704	2215.8	-25.6293
1029300	-6180.52	-8297.33	-52.4681	7.16704	2186.82	-24.7095
1029400	-6106.74	-8265.87	-39.1735	7.16704	2215.98	-24.8427
1029500	-6140.63	-8266.46	-48.3605	7.16704	2192.85	-25.8298
1029600	-6106.76	-8257.38	-46.311	7.16704	2214.56	-24.7997
1029700	-6121.55	-8263.78	-50.6235	7.16704	2209.71	-24.0242
1029800	-6110.75	-8271.57	-46.3731	7.16704	2224.09	-24.0617
1029900	-6181.14	-8317.14	-50.7787	7.16704	2205.62	-26.0041
1030000	-6158.36	-8282.92	-52.8435	7.16704	2195.71	-25.4707
1030100	-6179.95	-8298.17	-48.0168	7.16704	2183.84	-24.7742
1030200	-6155.59	-8243.91	-50.7163	7.16704	2156.13	-24.26
1030300	-6162.93	-8226.08	-58.6674	7.16704	2138.43	-23.7706
1030400	-6159.88	-8235.17	-46.9207	7.16704	2138.03	-22.9923
1030500	-6187.7	-8250.13	-54.9145	7.16704	2132.88	-22.7022
1030600	-6146.59	-8222.2	-42.8848	7.16704	2133.08	-21.7515
1030700	-6154.31	-8221.1	-61.0073	7.16704	2143.69	-23.0584
1030800	-6214.73	-8263.34	-63.1106	7.16704	2127.14	-22.5912
1030900	-6236.69	-8286.4	-64.98	7.16704	2128.71	-21.1853
1031000	-6201.94	-8260.15	-48.2869	7.16704	2123.11	-23.7736
1031100	-6236.88	-8265.64	-58.9226	7.16704	2103.5	-22.984
1031200	-6212.44	-8263.12	-54.3695	7.16704	2119.66	-21.7726
1031300	-6216.24	-8280.34	-54.9345	7.16704	2135.29	-23.4196
1031400	-6152.1	-8246.99	-61.225	7.16704	2173.21	-24.2569
1031500	-6146	-8261.41	-59.1227	7.16704	2191.8	-24.4348
1031600	-6232.31	-8307.29	-43.9128	7.16704	2135.6	-23.8775
1031700	-6247.58	-8311.06	-46.882	7.16704	2126.84	-23.6429
1031800	-6178.43	-8287.51	-51.0808	7.16704	2176.57	-23.5698
1031900	-6124.82	-8255.15	-45.1287	7.16704	2191.1	-22.8063
