Chain #6
Seed for random number generator: 6 51 52 8 11

Acceptance rates for chain #6 (%)
ptild: 25.9395
theta: 30.8874
p: 30.9348
F: 38.6244
Mt: 12.9984
nm: 27.9706
m: 51.8468

Migration rates
Into/From	1	2	3	4	5
At locus 1
1	0.0764775	0.0252621
2	0.0311594	0.0186197
3	0.0784784	0.0267503
4	0.0338356	0.0209222
5	0.0395714	0.0221444
6	0.0504949	0.0237817
7	0.00223524	0.00405788
8	0.0664741	0.0255036
9	0.0743554	0.0320347
10	0.00233994	0.00452418
11	0.0254064	0.0167397
12	0.0190559	0.013931
13	0.0442519	0.0209182
14	0.0281035	0.0186735
15	0.0071717	0.00792576
16	0.0941211	0.0375445
17	0.0199665	0.0145161
18	0.0022159	0.00402302
19	0.000752617	0.00213653
20	0.111574	0.0295032
21	0.0429203	0.0184678
22	0.0974322	0.0261937
23	0.00462348	0.00646522
24	0.0422228	0.0223899
25	0.00263912	0.00499036
26	0.00124795	0.00289049
27	0.000872558	0.00225467
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 2
1	0.223755	0.0418709
2	0.102106	0.0326572
3	0.189561	0.0405628
4	0.100814	0.0295031
5	0.0368716	0.0179025
6	0.193837	0.040447
7	0.00314185	0.00505679
8	0.00795806	0.00849913
9	0.00341931	0.00562705
10	0.00133515	0.00307197
11	0.00447837	0.00585297
12	0.00143393	0.00330659
13	0.00108341	0.00263399
14	0.00282354	0.00486002
15	0.0311086	0.0191584
16	0.00281283	0.00509058
17	0.00407248	0.00591866
18	0.0133841	0.0126077
19	0.00142099	0.00318919
20	0.00116802	0.00285985
21	0.00140339	0.00323453
22	0.00143818	0.00328727
23	0.00138965	0.00320239
24	0.00101351	0.00277181
25	0.00100122	0.0024979
26	0.0132506	0.0114774
27	0.000946281	0.00249651
28	0.000675878	0.00212397
29	0.00102456	0.00261458
30	0.0512711	0.021701
31	0	0
32	0	0
33	0	0
34	0	0
At locus 3
1	0.165067	0.0413606
2	0.274235	0.0464999
3	0.544182	0.0530271
4	0.00422063	0.00541528
5	0.0019305	0.00383248
6	0.000702506	0.00258116
7	0.00966233	0.0102211
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 4
1	0.119563	0.0372062
2	0.191747	0.0412144
3	0.574987	0.0515028
4	0.0433513	0.0245521
5	0.0122751	0.00968141
6	0.0244669	0.0156305
7	0.0336097	0.0175148
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 5
1	0.882579	0.0314042
2	0.0124662	0.0132259
3	0.0041584	0.00628818
4	0.000951386	0.00243241
5	0.0111012	0.0104056
6	0.00139072	0.00301713
7	0.00110476	0.00295472
8	0.0826931	0.0255293
9	0.00111325	0.00263659
10	0.00105188	0.0026078
11	0.000542327	0.00185327
12	0.000847853	0.002262
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 6
1	0.467303	0.0537783
2	0.36276	0.0520323
3	0.0475818	0.0210076
4	0.0373878	0.0197355
5	0.0119621	0.0115529
6	0.0297542	0.0196232
7	0.0222163	0.0156605
8	0.00709082	0.00819187
9	0.00479585	0.00684219
10	0.0077452	0.00944717
11	0.00140233	0.00300808
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 7
1	0.118235	0.0336264
2	0.0952389	0.0283788
3	0.0597091	0.0261429
4	0.0296754	0.0192513
5	0.171587	0.0434471
6	0.306994	0.0523293
7	0.136219	0.0325905
8	0.0652541	0.0261222
9	0.00192407	0.00371479
10	0.00452322	0.00601997
11	0.00669192	0.007494
12	0.000858453	0.00242982
13	0.00130353	0.0031983
14	0.000952518	0.00268742
15	0.000832795	0.00220544
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 8
1	0.0331246	0.0185139
2	0.255249	0.047054
3	0.0182108	0.0134501
