Chain #9
Seed for random number generator: 9 51 52 8 11

Acceptance rates for chain #9 (%)
ptild: 25.7857
theta: 30.8224
p: 30.5209
F: 38.5488
Mt: 12.7887
nm: 27.8664
m: 51.8736

Migration rates
Into/From	1	2	3	4	5
19	0.0278324	0.0145659
20	0.0194274	0.0123904
21	0.0194256	0.0120577
22	0.00503361	0.00514652
23	0.0152761	0.0115628
24	0.00658038	0.00595188
25	0.00853954	0.00697771
26	0.0146282	0.0103532
27	0.00890833	0.00769882
28	0.0209504	0.0121454
29	0.0220676	0.0125145
30	0.0164999	0.0114308
31	0.0105495	0.00825709
32	0.0136906	0.00935401
33	0.00595896	0.00575529
34	0.00432825	0.00480322

In population 4
At locus 1
1	0.0753316	0.0247997
2	0.0309027	0.0184359
3	0.079058	0.0266971
4	0.0331182	0.0204923
5	0.0400561	0.0221824
6	0.0505689	0.0238351
7	0.00243587	0.00417602
8	0.0670471	0.025461
9	0.0733321	0.0317468
10	0.00216056	0.00420331
11	0.0252099	0.0164988
12	0.0190184	0.0139288
13	0.0443114	0.0206087
14	0.0281998	0.0183051
15	0.00711519	0.00784957
16	0.0949601	0.0365571
17	0.019816	0.0143304
18	0.00247881	0.00424666
19	0.00101162	0.00244695
20	0.113225	0.029181
21	0.0434669	0.0183626
22	0.0971739	0.0255824
23	0.00469492	0.00649161
24	0.0410975	0.0217451
25	0.00272491	0.00498858
26	0.00128194	0.00289158
27	0.000202829	0.00128013
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 2
1	0.22273	0.0400542
2	0.104743	0.0330155
3	0.187889	0.0410757
4	0.103137	0.0298237
5	0.0359469	0.0175186
6	0.194477	0.0405599
7	0.00321842	0.00497837
8	0.00808671	0.00863785
9	0.00325636	0.00557626
10	0.00119591	0.00288801
11	0.00437441	0.00584704
12	0.00137899	0.00322754
13	0.00107388	0.00259375
14	0.00285602	0.00486487
15	0.0303359	0.0184594
16	0.00254486	0.00473889
17	0.00402414	0.00586642
18	0.0133566	0.0127554
19	0.00127997	0.00294886
20	0.00109281	0.00266054
21	0.00156219	0.00353172
22	0.00136831	0.00308661
23	0.00114624	0.00298769
24	0.00116074	0.00287692
25	0.000872153	0.00243155
26	0.0132058	0.0111492
27	0.000688537	0.00202252
28	0.000812667	0.00237814
29	0.000939856	0.00239059
30	0.0512452	0.021951
31	0	0
32	0	0
33	0	0
34	0	0
At locus 3
1	0.165669	0.0413508
2	0.272773	0.0459868
3	0.542527	0.0526839
4	0.00424438	0.00545874
5	0.00206854	0.00385551
6	0.00123799	0.00296419
7	0.0114806	0.0101233
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 4
1	0.119768	0.0367326
2	0.190838	0.0403671
3	0.575238	0.0503837
