Chain #2
Seed for random number generator: 2 51 52 8 11

Acceptance rates for chain #2 (%)
ptild: 27.8169
theta: 30.8688
p: 32.84
F: 38.5445
Mt: 12.9127
nm: 28.0043
m: 51.8858

Migration rates
Into/From	1	2	3	4	5
3	0.0958655	0.0279879
4	0.09509	0.0288029
5	0.0233702	0.0157322
6	0.0470419	0.0189962
7	0.084766	0.0260034
8	0.0378535	0.0171828
9	0.0460627	0.0210823
10	0.0613102	0.0239916
11	0.018176	0.0158448
12	0.0861662	0.0256343
13	0.015025	0.0130066
14	0.0183487	0.0125383
15	0.0143805	0.0122163
16	0.0208463	0.0164883
17	0.0822295	0.0276514
18	0.0108164	0.00838412
19	0.0202838	0.013072
20	0.0061808	0.0083813
21	0.00754113	0.00886593
22	0.00263014	0.00465469
23	0.00489078	0.00704074
24	0.00211377	0.00376019
25	0.00281919	0.00478552
26	0.00381855	0.00644258
27	0.00347523	0.00536303
28	0.0159681	0.0111806
29	0.00601867	0.00733553
30	0.00428411	0.00614971
31	0.00401766	0.00629837
32	0.00531718	0.00715262
33	0.0101703	0.00813147
34	0.0015166	0.00318971

In population 3
At locus 1
1	0.0495093	0.021638
2	0.0561985	0.0238449
3	0.0868631	0.0476916
4	0.048672	0.0224313
5	0.0469128	0.0215065
6	0.0450901	0.0211313
7	0.0253125	0.0167451
8	0.0452762	0.0199998
9	0.0821522	0.0290586
10	0.0117658	0.0102047
11	0.0373743	0.0195676
12	0.0813523	0.0357382
13	0.0325119	0.0169416
14	0.0507688	0.0230491
15	0.0143018	0.0109739
16	0.0388211	0.0179039
17	0.0456221	0.0259386
18	0.0169611	0.0116315
19	0.00696342	0.00666453
20	0.0356749	0.0181819
21	0.0132383	0.0103135
22	0.0377447	0.0189754
23	0.0317036	0.0183869
24	0.0269798	0.0157935
25	0.0170034	0.0125824
26	0.00935039	0.0080109
27	0.0058756	0.00631834
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 2
1	0.136713	0.0348341
2	0.0990875	0.0348662
3	0.142799	0.0375654
4	0.102031	0.0329445
5	0.0254305	0.015726
6	0.135818	0.0356958
7	0.0268909	0.0151626
8	0.0442314	0.021938
9	0.0177865	0.0129197
10	0.00939455	0.00827771
11	0.0400983	0.0257587
12	0.00740607	0.00682712
13	0.00669938	0.00657923
14	0.0234994	0.0155735
15	0.047815	0.0215244
16	0.00784039	0.00719722
17	0.0291926	0.0170372
18	0.0156687	0.0108662
19	0.00640512	0.00637913
20	0.0111316	0.00952644
21	0.00844725	0.00782435
22	0.00950461	0.00808999
23	0.00813414	0.00704153
24	0.00462923	0.00505352
25	0.00473008	0.00504074
26	0.00577662	0.00628583
27	0.00512144	0.0055117
28	0.00483639	0.00515717
29	0.00462832	0.00527259
30	0.00825236	0.00759791
31	0	0
32	0	0
33	0	0
34	0	0
At locus 3
1	0.261527	0.0445075
2	0.270097	0.0479681
3	0.401303	0.0514721
4	0.0383881	0.0205486
5	0.0183703	0.0122237
6	0.00559813	0.00575753
7	0.00471598	0.00521119
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 4
1	0.175366	0.0400187
2	0.199071	0.043381
3	0.451382	0.0531239
4	0.0692529	0.0253425
5	0.0115087	0.00918985
6	0.0713211	0.0268318
7	0.022098	0.0137765
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 5
1	0.798713	0.052144
2	0.0306794	0.0168302
3	0.0235203	0.0154787
4	0.00472847	0.00509082
5	0.0603973	0.0264789
6	0.0127571	0.0102286
7	0.0093824	0.00812173
8	0.0355704	0.018897
9	0.00753913	0.00685612
10	0.0076639	0.00699965
11	0.00571287	0.00562258
12	0.00333579	0.00429779
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 6
1	0.343181	0.0514243
2	0.322402	0.0494048
3	0.0679524	0.025943
4	0.0490707	0.0207989
5	0.0492081	0.0233807
6	0.0301739	0.0169028
7	0.0518834	0.022879
8	0.0131208	0.0103021
9	0.0224766	0.0142527
10	0.0380816	0.0195679
11	0.0124499	0.00963328
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 7
1	0.115413	0.0345259
2	0.0643668	0.0266724
3	0.107134	0.0399481
4	0.0493803	0.0231168
5	0.162	0.0406884
6	0.23068	0.0437832
7	0.0914507	0.0310156
8	0.0923078	0.030037
9	0.0130737	0.00989194
10	0.011796	0.00910601
11	0.0379142	0.0194926
12	0.00873761	0.00801595
13	0.00847194	0.00739585
14	0.00405676	0.00481132
15	0.00321702	0.00422513
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 8
1	0.113659	0.0428919
2	0.21516	0.0461089
3	0.0357491	0.0199825
4	0.0373856	0.0202812
5	0.107972	0.0343361
6	0.160587	0.038325
7	0.0786973	0.0310382
8	0.0296066	0.017665
9	0.0433175	0.0206464
10	0.0279269	0.0155706
11	0.00719126	0.00694026
12	0.0238042	0.0145219
13	0.0465561	0.0202636
14	0.0153061	0.011233
15	0.00912046	0.00907982
16	0.0131622	0.0110453
17	0.010121	0.00838935
18	0.00670869	0.00641457
19	0.00819036	0.00721132
20	0.00977869	0.00825376
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 9
1	0.190478	0.044407
2	0.250991	0.0470187
3	0.19405	0.0417396
4	0.134818	0.0527076
5	0.0316931	0.0169584
6	0.106004	0.0327302
7	0.0109881	0.00969096
8	0.0578364	0.0242452
9	0.00598242	0.00603294
10	0.00544041	0.00548739
11	0.00575456	0.00582756
12	0.00596349	0.00590667
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 10
1	0.00737525	0.00690827
2	0.0779457	0.0287863
3	0.0663596	0.0273213
4	0.0655412	0.0279001
5	0.0370793	0.0254192
6	0.0263094	0.0157184
7	0.0646001	0.0253116
8	0.0308627	0.0173691
9	0.0305399	0.0175864
10	0.0655749	0.0268752
11	0.0558621	0.0333315
12	0.0355657	0.0191354
13	0.0584171	0.0315545
14	0.0179099	0.0131756
15	0.0389054	0.0206965
16	0.0370883	0.0196153
17	0.0715108	0.0275049
18	0.00438102	0.00516081
19	0.0283018	0.0154528
20	0.0193297	0.0135707
21	0.0182688	0.0125686
22	0.00459498	0.00510161
23	0.0164873	0.0122267
24	0.00582858	0.00591584
25	0.00742375	0.00692394
26	0.0138215	0.0113033
27	0.008107	0.00771701
28	0.0195579	0.0125122
29	0.0202841	0.0134789
30	0.0160719	0.0124839
31	0.00990329	0.00852622
32	0.0123327	0.0097673
33	0.00439805	0.0052408
34	0.00346012	0.00444839

In population 4
At locus 1
1	0.0754665	0.0251385
2	0.0312635	0.0187646
3	0.0793803	0.0268332
4	0.033336	0.0204453
5	0.0395826	0.0220424
6	0.050045	0.0241754
7	0.0024496	0.00403511
8	0.0679331	0.0260928
9	0.0708268	0.031997
10	0.00183107	0.00399912
11	0.025488	0.0167302
